id,現象,原因,対策,キーワード
27,"芯押し台がずれ振動","センタ圧が不均等 or 芯ズレ","芯押し点検,圧力適正化, 芯高合わせ","芯押し,芯ズレ,振動,圧力調整"
28,"長尺パイプ挽きで騒音","肉薄で弾性変形、共鳴振動","内部にサポート棒挿入 or ステディ追加","長尺,パイプ,共鳴,サポート"
29,"溝入れ加工でビビり頻発","突っ込み形状が工具を横に押す","反転ホルダ or 安定溝入れ専用インサート採用","溝入れ,横押し,反転ホルダ,安定"
30,"角物ワークの四隅切削で振動","瞬間的な切削断面変化","切り込み制御し段階的に角を落とす","角物,断面変化,振動,段階切削"
31,"NCプログラムでスローアウェイ部分にビビり痕","G-codeの送り変化が激しい","S字加減速 or 円弧補間を滑らかに","NC,プログラム,加減速,補間"
32,"途中から振動出始める","工具摩耗で切削抵抗増大","定期刃先交換 or 早期摩耗検知","途中,摩耗,抵抗増大,早期交換"
33,"外径仕上げで波形振動","主軸チャックの爪振れ or ワーク着座不良","チャック爪研磨,ワーク当たり面を清掃","外径,波形,チャック爪,着座"
34,"フライスのヘッドがたわむ","大型門型マシンでヘッド剛性不足","加工位置を低く保つ or 突き出しを最少に","フライスヘッド,門型,剛性,低位置"
35,"高速高送りで振動増幅","機械剛性が追いつかない","送りを適正に落とす,機械能力内で運転","高速,高送り,剛性,制限"

36,"内径ボーリング後に穴径が大きい","工具が逃げて弾性変形","仕上げで1～2回空切り,工具補正","内径,大径,弾性変形,空切り"
37,"外径仕上げがテーパーになる","芯押し圧過多でワークがしなる","センタ圧を下げる or ステディ活用","外径,テーパー,芯押し,ステディ"
38,"段取り替え後に寸法ズレ","毎回ゼロ点取りが曖昧","治具基準面を固定化,タッチセンサ活用","段取り,ゼロ点,基準面,タッチセンサ"
39,"複数回掴み変えで同軸度NG","再チャックで芯ズレ","完成一発取り or ネステッド治具で位置統一","掴み変え,同軸度,芯ズレ,一発取り"
40,"歯車ボス穴がオーバーサイズ","仕上げバイトで削りすぎ","ツール補正値を正確に入力,試切り測定","歯車,オーバー,補正値,試切り"
41,"精密穴位置がズレる","割り出し回転軸のバックラッシュ","バックラッシュ補正, 反転方向切削","穴位置,割出し,バックラッシュ,反転切削"
42,"フェイスミル後の平面がうねる","主軸傾き or テーブルレベル","機械ジオメトリ調整, 仕上げ代薄く","フェイスミル,平面,うねり,ジオメトリ"
43,"深穴ボーリングで曲がる","切屑排出不良→工具曲がり","ガンドリル or 高圧クーラント,低送り","深穴,曲がり,ガンドリル,クーラント"
44,"ベッド上の長物で先端径が細る","ワーク垂れ下がりで最後に切り込み深","途中ステディサポート, 同心度維持","長物,先端細る,垂れ下がり,ステディ"
45,"熱変形で仕上げ寸法不安定","連続切削で工件温度上昇","荒取り後に自然冷却,仕上げは冷却後","熱変形,温度上昇,自然冷却,仕上げ"
46,"仕上げ溝底が段差になる","溝底の切り込み一定でない","一定Z制御 or 削り残し検出CAM","溝底,段差,一定Z,削り残し"
47,"複合旋盤のY軸オフセット漏れ","Y軸補正を入れ忘れ→穴位置ずれ","毎回オフセット確認,セットアップシート","複合旋盤,Y軸,補正,穴位置"
48,"工作物自体にソリがある","材料入荷段階で歪み","前加工で歪み取り,一晩寝かせ応力除去","ソリ,歪み,前加工,応力除去"
49,"面取り部が大きすぎる","45°の定数を誤入力","オフセット修正 or CAMパラメータ再設定","面取り,定数誤り,オフセット,CAM"
50,"現場でマイクロメータ測定が違う","測定温度が高くワーク膨張","温調室 or 接触温度校正","測定,温度,膨張,校正"

51,"フライス中に切りくず噛み込みで工具欠け","チップブレーカ不十分,長い切屑絡み","ブレーカ形状変える,エアブローで排屑","フライス,切りくず,噛み込み,ブレーカ"
52,"旋削時に鳥の巣切りくずが巻き付く","送り不足 or ブレーカ形状合わず","送り量アップ, チップブレーカ適正化","鳥の巣,巻き付き,送り不足,ブレーカ"
53,"アルミ高速切削で切り屑飛散しすぎ","切り屑が粉状で周囲汚染","ミストコレクタ強化,切削液噴霧制御","アルミ,粉状,飛散,ミスト"
54,"ステンレス切りくず長く引きずる","延性高くブレーカが効かない","ネガチップか深い溝ブレーカを採用","ステンレス,延性,ブレーカ,ネガチップ"
55,"チタン合金の切りくずが火花","高温大きい, 酸化しやすい","切削速度低下, 高濃度切削液で冷却","チタン,火花,酸化,冷却"
56,"切りくずの色で異常に気付く遅れ","焦げ茶色切り屑=過熱状態","色チェック習慣化,速度下げる","切りくず,色,過熱,速度"
57,"マグネットコンベアに切り屑混入不良","非磁性材で絡み取りにくい","フィルター式orスクリュー式排出へ変更","マグネット,非磁性,排出,スクリュー"
58,"ドリル穴で切りくず詰まり","深さが大きいのに低排出設計","段階的ピックアウト or 油穴ドリル採用","ドリル,深穴,詰まり,油穴"
59,"エンドミル溝加工で切りくずリフトせず","クーラント噴射角度が悪い","ノズル位置調整, エアブロー補助","溝加工,リフト,噴射角,ノズル"
60,"旋盤仕上げで微細切り屑が表面に噛み傷","切削液量不足, 排出不完全","強制洗浄ノズルを追加, 面取りエアブロー","噛み傷,微細屑,洗浄ノズル,エア"
61,"銅合金切り屑が固着し排出が悪い","粘性高い切りくずが絡む","カッタ刃数を減らす, 切りくず段差を作る","銅合金,粘性,固着,刃数"
62,"バイト先端に切りくず再付着","摩耗面に焼付溶着","コーティング面を滑らかに,クーラント増強","バイト,再付着,溶着,滑らか"
63,"鉄系鋳物で粉状切りくずが機内堆積","吸引装置不足,集塵不備","ダストコレクタ追加,こまめな清掃","鋳物,粉状,集塵,清掃"
64,"ステンレス穴あけ時に長い切りくずが刃を傷つける","切り屑分断できていない","低送り+高回転 or チップ形状を急峻化","ステンレス,穴あけ,切り屑分断,急峻"
65,"旋盤自動バー材供給で切り屑絡まり停止","バー材回転と切り屑が絡む","ガイドブッシュ式 or 切りくずブレーカ向上","バー材,絡まり,ガイドブッシュ,自動"

66,"ステンレス鏡面仕上げが曇る","溶着摩耗で微細傷発生","超鋭角バイト or サーメット仕上げ,潤滑重視","ステンレス,鏡面,摩耗,鋭角"
67,"アルミ表面に縦筋キズ","BUEが時折剥がれスジを引く","DLCインサート, 切削油たっぷり","アルミ,縦筋,剥がれ,スジ"
68,"チタン仕上げでびびり模様","工作物の弾性高く振動誘発","送り減, ノーズR小さめの鋭利工具","チタン,仕上げ,弾性,ノーズR"
69,"真鍮仕上げで表面が光沢出ず","切れ味不足で擦り痕","工具先端を鋭く, 油性切削油使用","真鍮,光沢,擦り痕,鋭角"
70,"フライス平面に段差ライン","重ね削りのオーバーラップ不十分","切削パス計算を最適化, オーバーラップ増","フライス平面,段差,オーバーラップ,パス"
71,"仕上げ径が振動痕付きでマット","高回転でびびり,チップが当たった跡","回転数を変化,一度退避→再切削","振動痕,回転変化,マット,再切削"
72,"エンドミル横壁に縦方向スジ","クライミングカットとコンベンショナルの切り替え不適","一方向仕上げ or バックラッシュ補正","エンドミル,横壁,縦スジ,カット方式"
73,"面取り刃でバリが残る","送りが大きすぎて面取りエッジ崩れ","送りを小さく, チャンファツールの角度見直し","面取り,バリ,エッジ崩れ,小送り"
74,"旋盤仕上げ面に点錆び","切削液飛沫やクーラント残留","防錆クーラント, 即時エアブロー乾燥","仕上げ面,点錆,防錆,乾燥"
75,"鏡面加工でヘアラインが消えない","少量の工具ビビリ or 工具尖り不十分","高剛性治具,高精度刃先研磨バイト","鏡面,ヘアライン,高剛性,研磨"
76,"ワイパーインサート使用も光沢改善しない","被削材が粘り強くBUE発生","速度アップ, コーティング見直し","ワイパー,光沢,BUE,速度"
77,"球面仕上げでムラ","CAMステップ幅が大きく段差","ステップオーバーを細かく, 仕上げ専用バイト","球面,ムラ,ステップオーバー,CAM"
78,"硬質クロムメッキ後の仕上げで荒れ","メッキ層が硬脆で欠ける","超硬で小切込み or 研磨仕上げ","メッキ,硬脆,欠け,研磨"
79,"研削レス仕上げで鏡面ならず","先端Rが大きいネガチップ","ポジ刃先 or 刃先ホーニング少なめで切削","研削レス,ネガ,刃先,ホーニング"
80,"フライス全面当たり痕が微妙に重なる","工具取り付け精度ズレ→1枚刃だけ突出","カッタ調整シムで刃高を揃える","フライス,全面,刃高さ,シム"

81,"薄肉フランジ加工後の反り","荒取り片面だけ","裏表交互に削る, 荒後に一旦冷却","薄肉,フランジ,反り,交互"
82,"大径リングが冷却後縮んで寸法狂い","加工中の熱膨張を考慮せず仕上げ","荒取り後に自然冷却し仕上げは常温で","大径リング,冷却,膨張,自然冷却"
83,"溶接構造体が歪む","内部応力が局部除去で解放","溶接後の応力除去焼なまし+対称加工","溶接,応力,歪み,対称"
84,"鋳物の巣と歪みが複合発生","巣取りで局所肉厚薄化","荒取りで余肉確認, 補修 or 打ち直し","鋳物,巣,肉厚薄,補修"
85,"アルミ長尺材がビヨンと曲がる","押出材の押出応力残存","機械前に時効処理 or 曲げ取り矯正","アルミ,長尺,押出応力,時効"
86,"角パイプ削ったら対角寸法ズレ","四面加工で一面ずつ大きく除去","両対面を交互に削り反りを均等化","角パイプ,対角,反り,交互"
87,"フライス後に板が反る","一方向から大きく切除","裏表交互軽切削, 中間リリースクランプ","板,反る,一方向,リリース"
88,"真空チャックで押さえてた薄板","加工後バネのように跳ね","仕上げ代を最小化 or 補強リブ仮付け","真空チャック,薄板,跳ね,リブ"
89,"冷間引抜材の棒が加工後ひずむ","残留応力が大きい","応力除去焼なまし+段階荒取り","冷間引抜,棒,ひずみ,段階荒"
90,"多段ステップ軸で段差部が反る","ステップごとに応力変化","途中芯押し位置変更 or 段階仕上げ","多段,ステップ軸,反る,芯押し"
91,"熱処理後の予備加工が足りず歪み残る","焼入れによる組織変化の歪み","焼入れ前後で余裕肉を取り、最終仕上げ","熱処理,組織変化,余肉,最終仕上げ"
92,"複合材(アルミ+鋼)を切削したら層間剥離","材質間の膨張係数差で応力","工具負荷小さめ, マルチマテリアル用ツール","複合材,層間剥離,膨張差,マルチ用"
93,"大型鉄板の内部ひずみで仕上げ面波打ち","プラズマ切断残留応力","切断余裕取り, 一旦応力放出後に仕上げ","大型鉄板,波打ち,残留応力,切断"
94,"クランクシャフトの曲がり","多段偏心加工で応力集中","芯押し+中間支持,段階仕上げ","クランク,偏心,曲がり,支持"
95,"大型溶接タンク内部をボーリング後ゆがむ","溶接ビード部が局所加熱で伸縮","溶接シームを分散設計, 中間アニール","タンク,溶接ビード,伸縮,アニール"

96,"電動工具で締めすぎてワーク変形","ボルト固定が過剰トルク","トルクレンチで適正管理, クランプ順序統一","過剰締付,変形,トルクレンチ,順序"
97,"クーラント濃度不良で腐食","クーラントがアルカリ度下がり錆誘発","定期濃度計測, pH維持剤投入","クーラント,濃度,腐食,pH"
98,"ドライカットで粉塵が部品に付着","静電気帯電で微粉が付着","イオナイザ or エアブローで帯電除去","ドライカット,粉塵,静電気,イオナイザ"
99,"工作機械ベッドが傾き再現性低下","据付レベルが狂った,床振動","定期レベリング, アンカーボルト増締め","ベッド,据付,レベル,床振動"
100,"切り替え勤務で夜間作業時にミス増","照明不足, 判断遅れ","作業灯増設, レイアウト工夫, 作業標準徹底","夜間,ミス,照明,標準化"
